rank,name,team,position,bye,adp,hasMarketAdp,fairRank,marketDelta,marketLabel,lateRoundLabel,week1Projection,seasonProjection,projectedGames,riskScore,riskTags,joannaNote,jeffNote
11,CeeDee Lamb,DAL,WR,14,10.4,true,11,-0.6,Fair At Cost,,13.68,230.42,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 11, ADP 10, delta -1. Season 13.6 ppg, Week 1 13.7, risk 0.0."
12,Chase Brown,CIN,RB,6,16.4,true,12,4.4,Fair At Cost,,14.03,226.67,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 12, ADP 16, delta +4. Season 13.3 ppg, Week 1 14.0, risk 0.0."
13,Justin Jefferson,MIN,WR,6,12.7,true,13,-0.3,Fair At Cost,,13.84,223.91,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 13, ADP 13, delta 0. Season 13.2 ppg, Week 1 13.8, risk 0.0."
14,Derrick Henry,BAL,RB,13,18,true,14,4,Fair At Cost,,13.61,230.34,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 14, ADP 18, delta +4. Season 13.5 ppg, Week 1 13.6, risk 0.3 (15 projected games)."
15,Drake London,ATL,WR,11,19,true,15,4,Fair At Cost,,13.43,223.2,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 15, ADP 19, delta +4. Season 13.1 ppg, Week 1 13.4, risk 0.0."
16,Saquon Barkley,PHI,RB,10,12.2,true,16,-3.8,Fair At Cost,,13.93,223.03,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 16, ADP 12, delta -4. Season 13.1 ppg, Week 1 13.9, risk 0.3 (15 projected games)."
17,George Pickens,DAL,WR,14,22.4,true,17,5.4,Fair At Cost,,12.69,216.79,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 17, ADP 22, delta +5. Season 12.8 ppg, Week 1 12.7, risk 0.0."
18,Zay Flowers,BAL,WR,13,36.5,true,18,18.5,Buy Ahead,,13.25,208.02,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 19 picks higher than the market and the Week 1 role looks usable.,"Fair 18, ADP 37, delta +19. Season 12.2 ppg, Week 1 13.3, risk 0.0."
19,Kenneth Walker III,KC,RB,5,16.5,true,19,-2.5,Fair At Cost,,12.55,218.84,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 19, ADP 17, delta -2. Season 12.9 ppg, Week 1 12.6, risk 0.3 (15 projected games)."
20,Nico Collins,HOU,WR,8,22.3,true,20,2.3,Fair At Cost,,12.65,216.82,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 20, ADP 22, delta +2. Season 12.8 ppg, Week 1 12.7, risk 0.3 (15 projected games)."
21,Omarion Hampton,LAC,RB,7,18.7,true,21,-2.3,Fair At Cost,,13.75,207.13,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 21, ADP 19, delta -2. Season 12.2 ppg, Week 1 13.8, risk 0.3 (15 projected games)."
22,Javonte Williams,DAL,RB,14,34.6,true,22,12.6,Buy Ahead,,13.03,197.8,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 13 picks higher than the market and the Week 1 role looks usable.,"Fair 22, ADP 35, delta +13. Season 11.6 ppg, Week 1 13.0, risk 0.0."
23,Kyren Williams,LAR,RB,11,29.2,true,23,6.2,Fair At Cost,,12.49,197.77,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 23, ADP 29, delta +6. Season 11.6 ppg, Week 1 12.5, risk 0.0."
24,DeVonta Smith,PHI,WR,10,29.5,true,24,5.5,Fair At Cost,,12.09,190.99,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 24, ADP 30, delta +6. Season 11.2 ppg, Week 1 12.1, risk 0.0."
25,Chris Olave,NO,WR,8,33,true,25,8,Fair At Cost,,12.1,197.27,15,0.45,15 projected games; Saints injuries may concentrate targets but offense is fragile,"More target opportunity is good, but do not ignore the offense around him.",Tyson/Kamara injuries can push volume toward Olave while also lowering touchdown environment.
26,Rashee Rice,KC,WR,5,34.3,true,26,8.3,Fair At Cost,,11.26,199.92,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 26, ADP 34, delta +8. Season 11.8 ppg, Week 1 11.3, risk 0.3 (15 projected games)."
27,Tetairoa McMillan,CAR,WR,5,41.8,true,27,14.8,Buy Ahead,,11.64,184.61,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 15 picks higher than the market and the Week 1 role looks usable.,"Fair 27, ADP 42, delta +15. Season 10.9 ppg, Week 1 11.6, risk 0.0."
28,Trey McBride,ARI,TE,14,25.8,true,28,-2.2,Fair At Cost,,10.72,188.14,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 28, ADP 26, delta -2. Season 11.1 ppg, Week 1 10.7, risk 0.0."
29,A.J. Brown,NE,WR,11,24.8,true,29,-4.2,Fair At Cost,,11.23,192.5,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 29, ADP 25, delta -4. Season 11.3 ppg, Week 1 11.2, risk 0.3 (15 projected games)."
30,Brock Bowers,LV,TE,13,21.1,true,30,-8.9,Fair At Cost,,11.59,181.73,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 30, ADP 21, delta -9. Season 10.7 ppg, Week 1 11.6, risk 0.0."
31,Travis Etienne Jr.,NO,RB,8,43.2,true,31,12.2,Buy Ahead,,11.28,190.4,15,0.35,15 projected games; Kamara injury may support early workload,This is the kind of practical role boost that matters. Stronger target if the price stays in the fourth-round area.,"Kamara's MCL absence improves early-season workload path; keep the usual RB volatility, but this is positive news arbitrage."
32,Jaylen Waddle,DEN,WR,10,42.1,true,32,10.1,Fair At Cost,,11.12,182.87,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 32, ADP 42, delta +10. Season 10.8 ppg, Week 1 11.1, risk 0.0."
33,Cam Skattebo,NYG,RB,8,41.6,true,33,8.6,Fair At Cost,,12.2,183.53,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 33, ADP 42, delta +9. Season 10.8 ppg, Week 1 12.2, risk 0.3 (15 projected games)."
34,David Montgomery,HOU,RB,8,52.4,true,34,18.4,Buy Ahead,,11.14,181.24,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 18 picks higher than the market and the Week 1 role looks usable.,"Fair 34, ADP 52, delta +18. Season 10.7 ppg, Week 1 11.1, risk 0.0."
35,Tee Higgins,CIN,WR,6,33.5,true,35,-1.5,Fair At Cost,,11.74,182.93,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 35, ADP 34, delta -1. Season 10.8 ppg, Week 1 11.7, risk 0.3 (15 projected games)."
36,Breece Hall,NYJ,RB,13,35.4,true,36,-0.6,Risk Discount Needed,,12.63,204,15,2.1,Q; Groin; expected Week 1 but recent soft-tissue injury; 15 projected games,"Good player, but make sure the groin news stays positive before treating him as a normal starter.","Current reports are optimistic for Week 1, so this is a modest discount rather than a full fade."
37,D'Andre Swift,CHI,RB,10,47.5,true,37,10.5,Fair At Cost,,10.9,182.05,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 37, ADP 48, delta +11. Season 10.7 ppg, Week 1 10.9, risk 0.3 (15 projected games)."
38,Ashton Jeanty,LV,RB,13,14.3,true,38,-23.7,Risk Discount Needed,,12.95,210.39,14,3,Q; low ankle sprain; Week 1 uncertain; 14 projected games,"Exciting talent, but the ankle makes him a dangerous early anchor. Only draft if he slips well past the healthy-player price.","Reports frame the ankle as more low than high and not long-term, but Week 1 uncertainty plus pick-14 cost is poor guillotine arbitrage."
39,Jeremiyah Love,ARI,RB,14,28,true,39,-11,Risk Discount Needed,,11.52,206.25,15,3.1,Q; high ankle sprain; out of practice this week; Week 1 uncertain; 15 projected games,High-ankle sprains can linger. Do not use him as an early Week 1 floor piece.,"The ADP dip is explained by injury, not hidden value. Needs a real discount and a roster that already has stable starters."
40,Bucky Irving,TB,RB,10,55.1,true,40,15.1,Discount With Reason,,10.94,175.47,15,0.35,15 projected games,"Interesting discount, but it is not free value. The reason to slow down: 15 projected games. Draft only if your roster already has stable starters.","Fair 40, ADP 55, delta +15. Season 10.3 ppg, Week 1 10.9, risk 0.3 (15 projected games)."
41,Terry McLaurin,WAS,WR,7,54.1,true,41,13.1,Buy Ahead,,9.65,173.47,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 13 picks higher than the market and the Week 1 role looks usable.,"Fair 41, ADP 54, delta +13. Season 10.2 ppg, Week 1 9.7, risk 0.0."
42,Ladd McConkey,LAC,WR,7,45.6,true,42,3.6,Fair At Cost,,10.44,167.71,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 42, ADP 46, delta +4. Season 9.9 ppg, Week 1 10.4, risk 0.0."
43,Jaylen Warren,PIT,RB,9,76.8,true,43,33.8,Buy Ahead,,11.04,162.69,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 34 picks higher than the market and the Week 1 role looks usable.,"Fair 43, ADP 77, delta +34. Season 9.6 ppg, Week 1 11.0, risk 0.0."
44,Josh Jacobs,GB,RB,11,33.2,true,44,-10.8,Risk Discount Needed,,11.77,207.21,14,4,Q; Groin; possible discipline/suspension review; 14 projected games,Name value is stronger than the safety profile right now. Do not click him as a normal RB anchor.,"Groin return-to-practice news helps, but unresolved discipline risk and RB age/workload make him a risky RB2 for guillotine."
45,Christian Watson,GB,WR,11,67.7,true,45,22.7,Discount With Reason,,10.38,171.35,15,0.35,15 projected games,"Interesting discount, but it is not free value. The reason to slow down: 15 projected games. Draft only if your roster already has stable starters.","Fair 45, ADP 68, delta +23. Season 10.1 ppg, Week 1 10.4, risk 0.3 (15 projected games)."
46,Josh Allen,BUF,QB,7,19.8,true,46,-26.2,Let Fall,,18.9,341.92,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 46, ADP 20, delta -26. Season 20.1 ppg, Week 1 18.9, risk 0.0."
47,Garrett Wilson,NYJ,WR,13,49.4,true,47,2.4,Fair At Cost,,10.05,163.22,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 47, ADP 49, delta +2. Season 9.6 ppg, Week 1 10.1, risk 0.0."
48,Jameson Williams,DET,WR,6,65.9,true,48,17.9,Buy Ahead,,10.09,162.41,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 18 picks higher than the market and the Week 1 role looks usable.,"Fair 48, ADP 66, delta +18. Season 9.6 ppg, Week 1 10.1, risk 0.0."
49,Jadarian Price,SEA,RB,11,65.9,true,49,16.9,Buy Ahead,,9.26,167.43,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 17 picks higher than the market and the Week 1 role looks usable.,"Fair 49, ADP 66, delta +17. Season 9.8 ppg, Week 1 9.3, risk 0.0."
50,Colston Loveland,CHI,TE,10,39.6,true,50,-10.4,Let Fall,,10.02,161.04,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 50, ADP 40, delta -10. Season 9.5 ppg, Week 1 10.0, risk 0.0."
51,Rico Dowdle,PIT,RB,9,87.1,true,51,36.1,Buy Ahead,,10.7,156.71,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 36 picks higher than the market and the Week 1 role looks usable.,"Fair 51, ADP 87, delta +36. Season 9.2 ppg, Week 1 10.7, risk 0.0."
52,Bhayshul Tuten,JAX,RB,7,62.4,true,52,10.4,Fair At Cost,,9.76,162.21,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 52, ADP 62, delta +10. Season 9.5 ppg, Week 1 9.8, risk 0.0."
53,Rome Odunze,CHI,WR,10,67.8,true,53,14.8,Buy Ahead,,9.24,163.59,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 15 picks higher than the market and the Week 1 role looks usable.,"Fair 53, ADP 68, delta +15. Season 9.6 ppg, Week 1 9.2, risk 0.0."
54,Davante Adams,LAR,WR,11,53.6,true,54,-0.4,Fair At Cost,,10.17,164.32,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 54, ADP 54, delta 0. Season 9.7 ppg, Week 1 10.2, risk 0.3 (15 projected games)."
55,Rhamondre Stevenson,NE,RB,11,80.3,true,55,25.3,Buy Ahead,,9.04,157.84,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 25 picks higher than the market and the Week 1 role looks usable.,"Fair 55, ADP 80, delta +25. Season 9.3 ppg, Week 1 9.0, risk 0.0."
56,DJ Moore,BUF,WR,7,62.3,true,56,6.3,Fair At Cost,,9.23,156.03,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 56, ADP 62, delta +6. Season 9.2 ppg, Week 1 9.2, risk 0.0."
57,Josh Downs,IND,WR,13,109.3,true,57,52.3,Buy Ahead,,9.77,146.79,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 52 picks higher than the market and the Week 1 role looks usable.,"Fair 57, ADP 109, delta +52. Season 8.6 ppg, Week 1 9.8, risk 0.0."
58,Quinshon Judkins,CLE,RB,11,53.2,true,58,-4.8,Fair At Cost,,10.26,181.63,15,1.65,Q; Undisclosed; 15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 58, ADP 53, delta -5. Season 10.7 ppg, Week 1 10.3, risk 1.6 (Q; Undisclosed; 15 projected games)."
59,Malik Nabers,NYG,WR,8,32.5,true,59,-26.5,Risk Discount Needed,,11.52,185.77,14,3,Q; ACL/meniscus recovery; returned to team drills; contact/ramp pending; 14 projected games,"Trending better, but ACL recovery is not the same as a clean Week 1 workload. Better as a discount than as a reach.","Positive practice report softens the fade, but the early-season ramp and ADP still require a guillotine discount."
60,Tony Pollard,TEN,RB,9,85.5,true,60,25.5,Buy Ahead,,9.16,146.23,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 26 picks higher than the market and the Week 1 role looks usable.,"Fair 60, ADP 86, delta +26. Season 8.6 ppg, Week 1 9.2, risk 0.0."
61,Jayden Reed,GB,WR,11,119.4,true,61,58.4,Buy Ahead,,8.92,144.96,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 58 picks higher than the market and the Week 1 role looks usable.,"Fair 61, ADP 119, delta +58. Season 8.5 ppg, Week 1 8.9, risk 0.0."
62,Luther Burden III,CHI,WR,10,58.7,true,62,-3.3,Fair At Cost,,10.25,174.63,15,1.65,Q; Groin; 15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 62, ADP 59, delta -3. Season 10.3 ppg, Week 1 10.3, risk 1.6 (Q; Groin; 15 projected games)."
63,Carnell Tate,TEN,WR,9,79.9,true,63,16.9,Buy Ahead,,9.12,142.96,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 17 picks higher than the market and the Week 1 role looks usable.,"Fair 63, ADP 80, delta +17. Season 8.4 ppg, Week 1 9.1, risk 0.0."
64,Emeka Egbuka,TB,WR,10,43.7,true,64,-20.3,Trap,,9.61,168.04,16,1.3,Q; Toe,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 64, ADP 44, delta -20. Season 9.9 ppg, Week 1 9.6, risk 1.3 (Q; Toe)."
65,Kenny Gainwell,TB,RB,10,118,true,65,53,Buy Ahead,,8.87,141.45,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 53 picks higher than the market and the Week 1 role looks usable.,"Fair 65, ADP 118, delta +53. Season 8.3 ppg, Week 1 8.9, risk 0.0."
66,Tyler Warren,IND,TE,13,47.2,true,66,-18.8,Risk Discount Needed,,10.31,161.91,16,2.2,Q; adductor/groin; Week 1 optimism but practice risk,"At TE, do not pay for uncertainty unless the discount is clear.","Could be ready quickly, but adductor/groin tags are exactly the type of soft-tissue risk to break ties against."
67,Jalen Hurts,PHI,QB,10,56.9,true,67,-10.1,Let Fall,,20.16,300.51,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 67, ADP 57, delta -10. Season 17.7 ppg, Week 1 20.2, risk 0.0."
68,Kyle Pitts Sr.,ATL,TE,11,72.9,true,68,4.9,Fair At Cost,,8.58,140.98,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 68, ADP 73, delta +5. Season 8.3 ppg, Week 1 8.6, risk 0.0."
69,Marvin Harrison Jr.,ARI,WR,14,78.7,true,69,9.7,Fair At Cost,,7.82,145.27,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 69, ADP 79, delta +10. Season 8.5 ppg, Week 1 7.8, risk 0.0."
70,Parker Washington,JAX,WR,7,82.5,true,70,12.5,Buy Ahead,,9.08,165.86,16,1.3,Q; Undisclosed,Worth taking a bit before ADP if he fits your roster; our board is 13 picks higher than the market and the Week 1 role looks usable.,"Fair 70, ADP 83, delta +13. Season 9.8 ppg, Week 1 9.1, risk 1.3 (Q; Undisclosed)."
71,Harold Fannin Jr.,CLE,TE,11,71.4,true,71,0.4,Fair At Cost,,8.27,140.08,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 71, ADP 71, delta 0. Season 8.2 ppg, Week 1 8.3, risk 0.0."
72,Brian Thomas Jr.,JAX,WR,7,83.9,true,72,11.9,Fair At Cost,,7.66,141.3,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 72, ADP 84, delta +12. Season 8.3 ppg, Week 1 7.7, risk 0.0."
73,Courtland Sutton,DEN,WR,10,103.1,true,73,30.1,Buy Ahead,,8.16,137.4,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 30 picks higher than the market and the Week 1 role looks usable.,"Fair 73, ADP 103, delta +30. Season 8.1 ppg, Week 1 8.2, risk 0.0."
74,Mike Evans,SF,WR,8,66.9,true,74,-7.1,Fair At Cost,,9.58,166.09,15,1.65,Q; Quadriceps; 15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 74, ADP 67, delta -7. Season 9.8 ppg, Week 1 9.6, risk 1.6 (Q; Quadriceps; 15 projected games)."
75,Lamar Jackson,BAL,QB,13,37.6,true,75,-37.4,Trap,,19.25,305.39,15,0.35,15 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 75, ADP 38, delta -37. Season 18.0 ppg, Week 1 19.3, risk 0.3 (15 projected games)."
76,Blake Corum,LAR,RB,11,99.6,true,76,23.6,Buy Ahead,,8.19,134.47,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 24 picks higher than the market and the Week 1 role looks usable.,"Fair 76, ADP 100, delta +24. Season 7.9 ppg, Week 1 8.2, risk 0.0."
77,TreVeyon Henderson,NE,RB,11,62.5,true,77,-14.5,Let Fall,,8.72,161.1,16,1.3,Q; Lower Leg,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 77, ADP 63, delta -14. Season 9.5 ppg, Week 1 8.7, risk 1.3 (Q; Lower Leg)."
78,Jayden Daniels,WAS,QB,7,54,true,78,-24,Let Fall,,17.53,307.26,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 78, ADP 54, delta -24. Season 18.1 ppg, Week 1 17.5, risk 0.0."
79,Jordan Mason,MIN,RB,6,116.2,true,79,37.2,Buy Ahead,,7.87,135.67,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 37 picks higher than the market and the Week 1 role looks usable.,"Fair 79, ADP 116, delta +37. Season 8.0 ppg, Week 1 7.9, risk 0.0."
80,Drake Maye,NE,QB,11,47.3,true,80,-32.7,Let Fall,,17.05,309.93,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 80, ADP 47, delta -33. Season 18.2 ppg, Week 1 17.1, risk 0.0."
81,Wan'Dale Robinson,TEN,WR,9,130.9,true,81,49.9,Buy Ahead,,8.06,133.65,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 50 picks higher than the market and the Week 1 role looks usable.,"Fair 81, ADP 131, delta +50. Season 7.9 ppg, Week 1 8.1, risk 0.0."
82,Jordan Addison,MIN,WR,6,117.4,true,82,35.4,Buy Ahead,,8.18,132.38,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 35 picks higher than the market and the Week 1 role looks usable.,"Fair 82, ADP 117, delta +35. Season 7.8 ppg, Week 1 8.2, risk 0.0."
83,RJ Harvey,DEN,RB,10,103.5,true,83,20.5,Discount With Reason,,8.38,138.36,15,0.35,15 projected games,"Interesting discount, but it is not free value. The reason to slow down: 15 projected games. Draft only if your roster already has stable starters.","Fair 83, ADP 104, delta +21. Season 8.1 ppg, Week 1 8.4, risk 0.3 (15 projected games)."
84,Michael Wilson,ARI,WR,14,103.2,true,84,19.2,Buy Ahead,,7.7,134.24,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 19 picks higher than the market and the Week 1 role looks usable.,"Fair 84, ADP 103, delta +19. Season 7.9 ppg, Week 1 7.7, risk 0.0."
85,Joe Burrow,CIN,QB,6,48.9,true,85,-36.1,Trap,,19.22,298.95,15,0.35,15 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 85, ADP 49, delta -36. Season 17.6 ppg, Week 1 19.2, risk 0.3 (15 projected games)."
86,Chuba Hubbard,CAR,RB,5,83.7,true,86,-2.3,Risk Discount Needed,,9.99,147.06,16,2.4,Q; Hamstring; week-to-week; backfield role pressure,Hamstring plus backfield uncertainty means he is not a boring-safe pick.,The injury opened the door for Jonathon Brooks; take only if the market discount reflects the role risk.
87,DK Metcalf,PIT,WR,9,86.3,true,87,-0.7,Fair At Cost,,9.36,150.3,16,1.3,Q; Undisclosed,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 87, ADP 86, delta -1. Season 8.8 ppg, Week 1 9.4, risk 1.3 (Q; Undisclosed)."
88,Dak Prescott,DAL,QB,14,74.3,true,88,-13.7,Let Fall,,18,297.42,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 88, ADP 74, delta -14. Season 17.5 ppg, Week 1 18.0, risk 0.0."
89,Chris Godwin Jr.,TB,WR,10,97.8,true,89,8.8,Fair At Cost,,8.16,134.56,15,0.35,15 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 89, ADP 98, delta +9. Season 7.9 ppg, Week 1 8.2, risk 0.3 (15 projected games)."
90,Jaxson Dart,NYG,QB,8,87.8,true,90,-2.2,Fair At Cost,,19.45,286.17,16,0,,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 90, ADP 88, delta -2. Season 16.8 ppg, Week 1 19.4, risk 0.0."
91,Jonathon Brooks,CAR,RB,5,97.9,true,91,6.9,Fair At Cost,,8.38,144.42,12,0.9,12 projected games,Fairly priced. Use roster need and Week 1 confidence as the tiebreaker.,"Fair 91, ADP 98, delta +7. Season 8.5 ppg, Week 1 8.4, risk 0.9 (12 projected games)."
92,Matthew Golden,GB,WR,11,128.3,true,92,36.3,Buy Ahead,,7.43,128.07,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 36 picks higher than the market and the Week 1 role looks usable.,"Fair 92, ADP 128, delta +36. Season 7.5 ppg, Week 1 7.4, risk 0.0."
93,Jalen Coker,CAR,WR,5,133.3,true,93,40.3,Buy Ahead,,8.21,122.46,16,0,,Worth taking a bit before ADP if he fits your roster; our board is 40 picks higher than the market and the Week 1 role looks usable.,"Fair 93, ADP 133, delta +40. Season 7.2 ppg, Week 1 8.2, risk 0.0."
94,Aaron Jones Sr.,MIN,RB,6,123,true,94,29,Discount With Reason,,7.87,132.43,15,0.35,15 projected games,"Interesting discount, but it is not free value. The reason to slow down: 15 projected games. Draft only if your roster already has stable starters.","Fair 94, ADP 123, delta +29. Season 7.8 ppg, Week 1 7.9, risk 0.3 (15 projected games)."
95,Mark Andrews,BAL,TE,13,113.4,true,95,18.4,Discount With Reason,,8.31,129.18,15,0.35,15 projected games,"Interesting discount, but it is not free value. The reason to slow down: 15 projected games. Draft only if your roster already has stable starters.","Fair 95, ADP 113, delta +18. Season 7.6 ppg, Week 1 8.3, risk 0.3 (15 projected games)."
